battery_id,min_voltage,mean_temperature,voltage_slope,capacity_cycle100
1,4.023137615456342,25.13167514951004,-0.006160254148023725,2.4470095836068606
2,4.036752851529841,25.168751031277807,-0.0049171988800915225,2.4578075039027794
3,4.039304487049631,25.204169065973275,-0.005770874303594109,2.443604867561756
4,4.071394724384022,25.16795295024728,-0.0037114129566996113,2.450539511399279
5,4.051406645153048,25.188451617011516,-0.003611575222116148,2.443022532451324
6,4.031824376005641,25.203134757996946,-0.00721630523106036,2.45129484066258
7,4.0293587329479585,25.110544278208803,-0.004825600637809391,2.466061360839855
8,4.0181183012407935,25.220375343034032,-0.005566217339671109,2.4607092486668445
9,4.046054910028686,25.265084298745172,-0.004395976668337376,2.463946151552426
10,4.030756690625286,25.175900906964223,-0.006713006961511692,2.442735205068494
11,4.068911329720581,25.167083849531686,-0.0017316093743920292,2.4471879979813753
12,4.041379408318526,25.08862381825615,-0.004698600735648028,2.4497080489327
13,4.01746475175068,25.246430090642235,-0.007817988190327262,2.4609710104110514
14,4.043420971819773,25.266953772211867,-0.00457824602102761,2.4644786568384935
15,4.040861530660234,25.099082548958236,-0.004623993214075028,2.447306467360333
16,4.070127847871673,25.187773036310233,-0.0015368811434297136,2.4557752616236277
17,4.015541026792759,25.272123807658925,-0.0069918666620468525,2.4632263134354813
18,4.046312586809312,25.1723112395579,-0.004558538277946944,2.451501340655042
19,4.04031198916694,25.21391291489811,-0.005808697391914386,2.4687899844358463
20,4.030924037433848,25.167273588848225,-0.006786092168821156,2.460214892376152
